Filenames,labels
./images/39037.jpg,Lebanon
./images/15394.jpg,Tunisia
./images/43762.jpg,INDIA-BRITISH
./images/89303.jpg,Singapore
./images/9404.jpg,Portugal
./images/17517.jpg,"Czech Republic"
./images/18985.jpg,Egypt
./images/45574.jpg,Chile
./images/14646.jpg,Philippines
./images/7143.jpg,Belgium
./images/7154.jpg,Belgium
./images/14658.jpg,Bulgaria
./images/45446.jpg,Argentina
./images/123.jpg,"ITALIAN STATES"
./images/10300.jpg,"Great Britain"
./images/16664.jpg,Australia
./images/14100.jpg,Mexico
./images/89635.jpg,Slovakia
./images/54.jpg,France
./images/15060.jpg,Greece
./images/10260.jpg,"Great Britain"
./images/78451.jpg,Malta
./images/14309.jpg,Italy
./images/14946.jpg,Denmark
./images/20977.jpg,"GERMANY, THIRD REICH"
./images/364803.jpg,Slovenia
./images/41908.jpg,"Isle of Man"
./images/15374.jpg,Morocco
./images/16758.jpg,"GERMANY - EMPIRE"
./images/71903.jpg,Madagascar
./images/96308.jpg,Slovakia
./images/38173.jpg,Argentina
./images/17074.jpg,Venezuela
./images/13906.jpg,"GERMANY - EMPIRE"
./images/18808.jpg,"GERMANY - FEDERAL REPUBLIC"
./images/14287.jpg,Poland
./images/11647.jpg,Monaco
./images/317450.jpg,Iceland
./images/56340.jpg,Cyprus
./images/13699.jpg,"German States"
./images/7954.jpg,Bulgaria
./images/74584.jpg,"IRELAND REPUBLIC"
./images/40621.jpg,Czechoslovakia
./images/18178.jpg,Yugoslavia
./images/39254.jpg,Philippines
./images/9412.jpg,Poland
./images/17027.jpg,Romania
./images/30733.jpg,"FRENCH INDO-CHINA"
./images/39151.jpg,Cyprus
./images/92642.jpg,Kenya
./images/89391.jpg,"Sri Lanka"
./images/16520.jpg,Malta
./images/17510.jpg,"Czech Republic"
./images/89380.jpg,"Sri Lanka"
./images/36789.jpg,Lithuania
./images/25361.jpg,"SWISS CANTONS"
./images/36946.jpg,Philippines
./images/17290.jpg,Romania
./images/116.jpg,"ITALIAN STATES"
./images/29080.jpg,"GERMAN-DEMOCRATIC REPUBLIC"
./images/25242.jpg,Japan
./images/32896.jpg,"FRENCH INDO-CHINA"
./images/15058.jpg,Turkey
./images/18193.jpg,Israel
./images/89853.jpg,"West African States"
./images/11705.jpg,Monaco
./images/25833.jpg,Algeria
./images/18308.jpg,Tunisia
./images/19649.jpg,"CHINA, PEOPLE'S REPUBLIC"
./images/25719.jpg,Madagascar
./images/21110.jpg,Monaco
./images/17313.jpg,Romania
./images/25874.jpg,"New Caledonia"
./images/39299.jpg,Luxembourg
./images/13736.jpg,"Spanish Netherlands"
./images/39563.jpg,"FRENCH INDO-CHINA"
./images/46979.jpg,Mauritius
./images/17526.jpg,Czechoslovakia
./images/14108.jpg,Indonesia
./images/28097.jpg,Ukraine
./images/46974.jpg,Mauritius
./images/17498.jpg,Czechoslovakia
./images/17421.jpg,Turkey
./images/14617.jpg,Venezuela
./images/82208.jpg,"West African States"
./images/43915.jpg,INDIA-BRITISH
./images/20974.jpg,"GERMANY, WEIMAR REPUBLIC"
./images/21098.jpg,Luxembourg
./images/24550.jpg,Finland
./images/13277.jpg,"GERMANY - EMPIRE"
./images/11698.jpg,"German States"
./images/31011.jpg,Luxembourg
./images/19628.jpg,"GERMANY - FEDERAL REPUBLIC"
./images/29028.jpg,Lithuania
./images/84716.jpg,"West African States"
./images/87358.jpg,"Czech Republic"
./images/36631.jpg,Slovenia
./images/21416.jpg,"San Marino"
./images/28680.jpg,"VATICAN CITY"
./images/13837.jpg,Australia
./images/14674.jpg,Luxembourg
./images/49215.jpg,Ukraine
./images/19946.jpg,INDIA-BRITISH
./images/14143.jpg,Russia
./images/14288.jpg,Poland
./images/13253.jpg,Russia
./images/422631.jpg,Iceland
./images/18299.jpg,"Spanish Netherlands"
./images/25894.jpg,"New Caledonia"
./images/14208.jpg,Portugal
./images/20979.jpg,"GERMANY, THIRD REICH"
./images/90178.jpg,Zimbabwe
./images/49209.jpg,Ukraine
./images/72137.jpg,Chile
./images/15199.jpg,Tunisia
./images/19687.jpg,Denmark
./images/17072.jpg,Japan
./images/79406.jpg,Madagascar
./images/37337.jpg,Croatia
./images/10236.jpg,"German States"
./images/19266.jpg,Monaco
./images/30629.jpg,Finland
./images/29339.jpg,Luxembourg
./images/16833.jpg,"GERMANY, THIRD REICH"
./images/13284.jpg,"Great Britain"
./images/10295.jpg,Austria
./images/33320.jpg,"SWISS CANTONS"
./images/46941.jpg,Croatia
./images/74202.jpg,"IRELAND REPUBLIC"
./images/28165.jpg,Japan
./images/25288.jpg,INDIA-BRITISH
./images/29673.jpg,"South Africa"
./images/19408.jpg,INDIA-BRITISH
./images/21108.jpg,Monaco
./images/80.jpg,Spain
./images/18806.jpg,"GERMANY - FEDERAL REPUBLIC"
./images/43786.jpg,Israel
./images/92638.jpg,Zimbabwe
./images/45539.jpg,"IRELAND REPUBLIC"
./images/21641.jpg,China
./images/13285.jpg,"Great Britain"
./images/23431.jpg,Morocco
./images/42038.jpg,Albania
./images/7288.jpg,Spain
./images/17146.jpg,Sweden
./images/13703.jpg,"German States"
./images/24555.jpg,Hungary
./images/45443.jpg,INDIA-REPUBLIC
./images/45378.jpg,"West African States"
./images/49184.jpg,Ukraine
./images/19658.jpg,"CHINA, PEOPLE'S REPUBLIC"
./images/52351.jpg,Lithuania
./images/18240.jpg,"San Marino"
./images/38241.jpg,"Hong Kong"
./images/16752.jpg,"Spanish Netherlands"
./images/26014.jpg,Sweden
./images/89274.jpg,Seychelles
./images/41024.jpg,Bulgaria
./images/51.jpg,France
./images/13270.jpg,"GERMANY - EMPIRE"
./images/36623.jpg,Slovenia
./images/14835.jpg,Greece
./images/79837.jpg,Indonesia
./images/17320.jpg,Romania
./images/74608.jpg,"IRELAND REPUBLIC"
./images/24194.jpg,"SWISS CANTONS"
./images/41475.jpg,"Isle of Man"
./images/44234.jpg,Israel
./images/77758.jpg,Slovakia
./images/41927.jpg,Mauritius
./images/86940.jpg,INDIA-REPUBLIC
./images/37696.jpg,Jersey
./images/36627.jpg,Slovenia
./images/44233.jpg,Israel
./images/17155.jpg,"FRENCH INDO-CHINA"
./images/14018.jpg,Russia
./images/23791.jpg,Albania
./images/21367.jpg,Malta
./images/142.jpg,"ITALIAN STATES"
./images/40861.jpg,Argentina
./images/15364.jpg,Tunisia
./images/23982.jpg,"CHINA, PEOPLE'S REPUBLIC"
./images/15339.jpg,"French Polynesia"
./images/14803.jpg,Greece
./images/7813.jpg,Belgium
./images/78448.jpg,Malta
./images/39949.jpg,Mauritius
./images/24456.jpg,Peru
./images/94036.jpg,Algeria
./images/13303.jpg,"GERMANY - EMPIRE"
./images/19637.jpg,"CHINA, PEOPLE'S REPUBLIC"
./images/13853.jpg,Netherlands
./images/17041.jpg,Yugoslavia
./images/92387.jpg,Slovenia
./images/89296.jpg,Singapore
./images/95466.jpg,Kenya
./images/39242.jpg,Lebanon
./images/34899.jpg,"GERMANY, THIRD REICH"
./images/21218.jpg,"SWISS CANTONS"
./images/29695.jpg,Luxembourg
./images/13271.jpg,"GERMANY - EMPIRE"
./images/21711.jpg,"FRENCH INDO-CHINA"
./images/25245.jpg,Japan
./images/8292.jpg,Belgium
./images/79834.jpg,Indonesia
./images/14087.jpg,Argentina
./images/10243.jpg,Spain
./images/14775.jpg,"GERMANY, THIRD REICH"
./images/44044.jpg,INDIA-REPUBLIC
./images/39170.jpg,Indonesia
./images/33319.jpg,"SWISS CANTONS"
./images/13455.jpg,Peru
./images/46952.jpg,Croatia
./images/17002.jpg,Monaco
./images/74938.jpg,Kenya
./images/89319.jpg,Slovenia
./images/19359.jpg,Mauritius
./images/16229.jpg,Hungary
./images/49182.jpg,Ukraine
./images/29769.jpg,Yugoslavia
./images/25364.jpg,"SWISS CANTONS"
./images/25304.jpg,Mauritius
./images/17426.jpg,Turkey
./images/418849.jpg,Zimbabwe
./images/13750.jpg,Russia
./images/15358.jpg,"FRENCH INDO-CHINA"
./images/14026.jpg,Monaco
./images/32143.jpg,China
./images/76718.jpg,"West African States"
./images/32203.jpg,"GERMANY - FEDERAL REPUBLIC"
./images/412261.jpg,Zimbabwe
./images/71915.jpg,"West African States"
./images/33958.jpg,Argentina
./images/40863.jpg,Argentina
./images/14655.jpg,Bulgaria
./images/46538.jpg,Indonesia
./images/7378.jpg,Egypt
./images/11804.jpg,"German States"
./images/13717.jpg,Russia
./images/16444.jpg,Japan
./images/14295.jpg,Poland
./images/89398.jpg,"Sri Lanka"
./images/72541.jpg,Jersey
./images/6733.jpg,Russia
./images/14286.jpg,Poland
./images/41793.jpg,"GERMANY, WEIMAR REPUBLIC"
./images/29671.jpg,"South Africa"
./images/26487.jpg,"GERMANY, WEIMAR REPUBLIC"
./images/32119.jpg,China
./images/21577.jpg,Bulgaria
./images/14079.jpg,Italy
./images/14644.jpg,Philippines
./images/45575.jpg,Chile
./images/14110.jpg,"GERMANY - EMPIRE"
./images/74602.jpg,"IRELAND REPUBLIC"
./images/6012.jpg,"Great Britain"
./images/46050.jpg,Venezuela
./images/29081.jpg,"GERMAN-DEMOCRATIC REPUBLIC"
./images/21366.jpg,Morocco
./images/14296.jpg,Poland
./images/13786.jpg,Hungary
./images/21638.jpg,Brazil
./images/86945.jpg,INDIA-REPUBLIC
./images/19763.jpg,Australia
./images/29694.jpg,Luxembourg
./images/21435.jpg,Sweden
./images/34367.jpg,INDIA-BRITISH
./images/14200.jpg,Canada
./images/89300.jpg,Singapore
./images/47036.jpg,"Isle of Man"
./images/36398.jpg,Peru
./images/17294.jpg,Romania
./images/25921.jpg,"South Africa"
./images/16443.jpg,Japan
./images/17771.jpg,Hungary
./images/87057.jpg,Algeria
./images/23428.jpg,Morocco
./images/36850.jpg,Bulgaria
./images/12101.jpg,Italy
./images/13311.jpg,Russia
./images/20944.jpg,Australia
./images/14590.jpg,"South Africa"
./images/32154.jpg,China
./images/18792.jpg,Japan
./images/23671.jpg,Portugal
./images/26.jpg,Switzerland
./images/15354.jpg,"French Polynesia"
./images/13921.jpg,Canada
./images/43184.jpg,"New Caledonia"
./images/17903.jpg,Slovakia
./images/43778.jpg,Iceland
./images/15381.jpg,Morocco
./images/45379.jpg,"West African States"
./images/24184.jpg,"SWISS CANTONS"
./images/13936.jpg,Netherlands
./images/76723.jpg,"West African States"
./images/19341.jpg,Denmark
./images/12450.jpg,Romania
./images/39127.jpg,"Sri Lanka"
./images/33310.jpg,"SWISS CANTONS"
./images/14742.jpg,Denmark
./images/39126.jpg,"Sri Lanka"
./images/14019.jpg,Russia
./images/141.jpg,"ITALIAN STATES"
./images/13301.jpg,Netherlands
./images/18397.jpg,Mexico
./images/317586.jpg,Iceland
./images/36982.jpg,Malta
./images/24897.jpg,Luxembourg
./images/49191.jpg,Ukraine
./images/28664.jpg,"South Africa"
./images/39300.jpg,Luxembourg
./images/9678.jpg,Russia
./images/13437.jpg,Austria
./images/89308.jpg,Singapore
./images/39252.jpg,Philippines
./images/13852.jpg,Italy
./images/16973.jpg,"GERMANY - EMPIRE"
./images/89298.jpg,Singapore
./images/13632.jpg,Russia
./images/18213.jpg,Tunisia
./images/12118.jpg,"United States"
./images/36154.jpg,INDIA-BRITISH
./images/23645.jpg,Brazil
./images/41474.jpg,"Isle of Man"
./images/25256.jpg,Yugoslavia
./images/89632.jpg,Slovakia
./images/87049.jpg,Algeria
./images/46054.jpg,Venezuela
./images/17030.jpg,Sweden
./images/95467.jpg,Kenya
./images/27962.jpg,"Hong Kong"
./images/27324.jpg,Brazil
./images/91341.jpg,"West African States"
./images/16857.jpg,"VATICAN CITY"
./images/46188.jpg,"San Marino"
./images/14625.jpg,Canada
./images/14297.jpg,Czechoslovakia
./images/417911.jpg,Croatia
./images/37339.jpg,Croatia
./images/32899.jpg,"FRENCH INDO-CHINA"
./images/74585.jpg,"IRELAND REPUBLIC"
./images/36844.jpg,Lithuania
./images/107.jpg,"ITALIAN STATES"
./images/31295.jpg,"GERMANY, WEIMAR REPUBLIC"
./images/14873.jpg,Greece
./images/16766.jpg,Canada
./images/96041.jpg,Algeria
./images/49087.jpg,INDIA-REPUBLIC
./images/46052.jpg,Venezuela
./images/7104.jpg,Austria
./images/25300.jpg,INDIA-BRITISH
./images/7128.jpg,"German States"
./images/29316.jpg,Iceland
./images/7098.jpg,Italy
./images/25922.jpg,Chile
./images/31.jpg,France
./images/39264.jpg,Norway
./images/18972.jpg,Portugal
./images/87054.jpg,Algeria
./images/33325.jpg,"SWISS CANTONS"
./images/17950.jpg,Morocco
./images/14959.jpg,Denmark
./images/46530.jpg,Chile
./images/18171.jpg,Yugoslavia
./images/13657.jpg,Luxembourg
./images/138.jpg,"ITALIAN STATES"
./images/10261.jpg,"Great Britain"
./images/16067.jpg,Turkey
./images/13382.jpg,"German States"
./images/46982.jpg,Mauritius
./images/15391.jpg,Tunisia
./images/14956.jpg,Denmark
./images/49079.jpg,Cyprus
./images/7298.jpg,Spain
./images/16701.jpg,Peru
./images/18793.jpg,Japan
./images/43009.jpg,Albania
./images/18199.jpg,Tunisia
./images/19633.jpg,"CHINA, PEOPLE'S REPUBLIC"
./images/14202.jpg,Brazil
./images/52403.jpg,Chile
./images/32155.jpg,China
./images/15892.jpg,"San Marino"
./images/38198.jpg,"Isle of Man"
./images/90173.jpg,Zimbabwe
./images/47029.jpg,"Isle of Man"
./images/12187.jpg,"United States"
./images/105.jpg,"ITALIAN STATES"
./images/96671.jpg,Seychelles
./images/49213.jpg,Ukraine
./images/92534.jpg,Croatia
./images/18195.jpg,Israel
./images/15385.jpg,Morocco
./images/11744.jpg,Russia
./images/8289.jpg,"GERMANY, THIRD REICH"
./images/19587.jpg,INDIA-BRITISH
./images/13289.jpg,"Great Britain"
./images/18234.jpg,"San Marino"
./images/32897.jpg,"FRENCH INDO-CHINA"
./images/36790.jpg,Lithuania
./images/36981.jpg,Malta
./images/38253.jpg,"Hong Kong"
./images/89395.jpg,"Sri Lanka"
./images/96909.jpg,Slovakia
./images/14650.jpg,Bulgaria
./images/14280.jpg,"VATICAN CITY"
./images/16880.jpg,INDIA-BRITISH
./images/21254.jpg,"GERMANY, WEIMAR REPUBLIC"
./images/29031.jpg,Lithuania
./images/10254.jpg,"United States"
./images/43071.jpg,Argentina
./images/32138.jpg,China
./images/21436.jpg,Sweden
./images/33.jpg,France
./images/14741.jpg,INDIA-BRITISH
./images/13234.jpg,Canada
./images/49013.jpg,"GERMAN-DEMOCRATIC REPUBLIC"
./images/55.jpg,France
./images/38236.jpg,"Hong Kong"
./images/26015.jpg,Sweden
./images/49859.jpg,Albania
./images/17505.jpg,Czechoslovakia
./images/17132.jpg,Greece
./images/16897.jpg,Australia
./images/17306.jpg,Romania
./images/38382.jpg,Mauritius
./images/14606.jpg,Romania
./images/38959.jpg,"New Caledonia"
./images/21112.jpg,Monaco
./images/9403.jpg,Italy
./images/18755.jpg,Colombia
./images/19407.jpg,INDIA-BRITISH
./images/21106.jpg,Monaco
./images/7200.jpg,Switzerland
./images/13930.jpg,Canada
./images/38252.jpg,"Hong Kong"
./images/14657.jpg,Bulgaria
./images/104.jpg,"ITALIAN STATES"
./images/14292.jpg,Poland
./images/73586.jpg,"GERMAN-DEMOCRATIC REPUBLIC"
./images/13540.jpg,"Spanish Netherlands"
./images/7122.jpg,"German States"
./images/13702.jpg,"German States"
./images/24479.jpg,Hungary
./images/43187.jpg,"New Caledonia"
./images/25919.jpg,Chile
./images/36973.jpg,Slovakia
./images/38380.jpg,Mauritius
./images/21341.jpg,Hungary
./images/12465.jpg,Greece
./images/38224.jpg,"Hong Kong"
./images/52230.jpg,Venezuela
./images/30936.jpg,Croatia
./images/39152.jpg,Cyprus
./images/74670.jpg,Iceland
./images/20986.jpg,Argentina
./images/38242.jpg,"Hong Kong"
./images/12039.jpg,"United States"
./images/15275.jpg,Mexico
./images/7180.jpg,Switzerland
./images/89305.jpg,Singapore
./images/44053.jpg,"Sri Lanka"
./images/17422.jpg,Turkey
./images/28663.jpg,Peru
./images/21541.jpg,"GERMANY, WEIMAR REPUBLIC"
./images/88171.jpg,Kenya
./images/13235.jpg,Australia
./images/15303.jpg,Czechoslovakia
./images/25555.jpg,Chile
./images/84719.jpg,"West African States"
./images/32320.jpg,Brazil
./images/25289.jpg,INDIA-BRITISH
./images/47031.jpg,"Isle of Man"
./images/32847.jpg,Japan
./images/14852.jpg,Hungary
./images/41054.jpg,Finland
./images/89630.jpg,Slovakia
./images/47071.jpg,Lithuania
./images/21208.jpg,Sweden
./images/89377.jpg,"Sri Lanka"
./images/21643.jpg,Egypt
./images/89325.jpg,Slovenia
./images/39261.jpg,Norway
./images/108.jpg,"ITALIAN STATES"
./images/25834.jpg,Algeria
./images/13708.jpg,Hungary
./images/10881.jpg,"United States"
./images/18757.jpg,Chile
./images/96907.jpg,Slovakia
./images/13939.jpg,Netherlands
./images/431405.jpg,Zimbabwe
./images/49216.jpg,Ukraine
./images/16662.jpg,Australia
./images/21410.jpg,"San Marino"
./images/36791.jpg,Lithuania
./images/52346.jpg,Lithuania
./images/74661.jpg,Malta
./images/7096.jpg,Belgium
./images/37528.jpg,"GERMANY, THIRD REICH"
./images/14913.jpg,Portugal
./images/18788.jpg,Japan
./images/38759.jpg,Peru
./images/47388.jpg,Finland
./images/13380.jpg,Austria
./images/7207.jpg,Switzerland
./images/26012.jpg,Luxembourg
./images/41484.jpg,Yugoslavia
./images/14910.jpg,Tunisia
./images/13490.jpg,"German States"
./images/14682.jpg,China
./images/43539.jpg,"French Polynesia"
./images/29341.jpg,Seychelles
./images/9.jpg,France
./images/9413.jpg,Poland
./images/39187.jpg,Philippines
./images/41546.jpg,Finland
./images/9680.jpg,Russia
./images/21415.jpg,"San Marino"
./images/89326.jpg,Slovenia
./images/87055.jpg,Algeria
./images/18979.jpg,Mexico
./images/17988.jpg,Yugoslavia
./images/79993.jpg,Cyprus
./images/38233.jpg,"Hong Kong"
./images/16516.jpg,Malta
./images/46460.jpg,Norway
./images/28685.jpg,"VATICAN CITY"
./images/17182.jpg,INDIA-REPUBLIC
./images/12559.jpg,Netherlands
./images/14822.jpg,Argentina
./images/49201.jpg,Ukraine
./images/39174.jpg,Indonesia
./images/49193.jpg,Ukraine
./images/14196.jpg,Mexico
./images/29024.jpg,Luxembourg
./images/39173.jpg,Indonesia
./images/13897.jpg,Netherlands
./images/16657.jpg,Poland
./images/17533.jpg,Czechoslovakia
./images/12453.jpg,Italy
./images/14707.jpg,China
./images/38749.jpg,Peru
./images/39591.jpg,"FRENCH INDO-CHINA"
./images/135.jpg,"ITALIAN STATES"
./images/87.jpg,"United States"
./images/96047.jpg,Algeria
./images/16832.jpg,"GERMANY, THIRD REICH"
./images/84676.jpg,Cyprus
./images/92558.jpg,Singapore
./images/47392.jpg,Finland
./images/14186.jpg,Turkey
./images/84363.jpg,"FRENCH INDO-CHINA"
./images/12460.jpg,"German States"
./images/41924.jpg,Philippines
./images/79855.jpg,Croatia
./images/89286.jpg,Seychelles
./images/21067.jpg,INDIA-BRITISH
./images/41939.jpg,Kenya
./images/13237.jpg,Russia
./images/89330.jpg,Slovenia
./images/16774.jpg,Canada
./images/87347.jpg,"Czech Republic"
./images/14676.jpg,Norway
./images/13169.jpg,Monaco
./images/17512.jpg,"Czech Republic"
./images/15167.jpg,Tunisia
./images/45902.jpg,Zimbabwe
./images/13905.jpg,Spain
./images/14651.jpg,Bulgaria
./images/74728.jpg,Venezuela
./images/14881.jpg,Turkey
./images/14762.jpg,Sweden
./images/39143.jpg,"Sri Lanka"
./images/9411.jpg,Poland
./images/34092.jpg,Brazil
./images/15272.jpg,Malta
./images/78601.jpg,Lebanon
./images/13274.jpg,"GERMANY - EMPIRE"
./images/17904.jpg,Slovakia
./images/13315.jpg,"San Marino"
./images/79986.jpg,Cyprus
./images/23979.jpg,China
./images/14201.jpg,Hungary
./images/7091.jpg,Belgium
./images/14924.jpg,Poland
./images/39153.jpg,Cyprus
./images/28661.jpg,"South Africa"
./images/13978.jpg,Egypt
./images/19361.jpg,"New Caledonia"
./images/36949.jpg,Philippines
./images/18233.jpg,"San Marino"
./images/46024.jpg,Israel
./images/21640.jpg,Brazil
./images/36632.jpg,Slovakia
./images/18809.jpg,"GERMANY - FEDERAL REPUBLIC"
./images/18301.jpg,"Spanish Netherlands"
./images/37051.jpg,Philippines
./images/76250.jpg,Seychelles
./images/5481.jpg,"United States"
./images/73421.jpg,Madagascar
./images/39158.jpg,Mauritius
./images/17046.jpg,Australia
./images/17524.jpg,Czechoslovakia
./images/17258.jpg,Finland
./images/72547.jpg,Chile
./images/25284.jpg,Jersey
./images/95463.jpg,Kenya
./images/32150.jpg,China
./images/12337.jpg,"German States"
./images/19617.jpg,Egypt
./images/14882.jpg,INDIA-BRITISH
./images/59232.jpg,Colombia
./images/36975.jpg,Slovakia
./images/14631.jpg,Canada
./images/74607.jpg,"IRELAND REPUBLIC"
./images/18169.jpg,Yugoslavia
./images/8335.jpg,Poland
./images/18184.jpg,Yugoslavia
./images/88167.jpg,Kenya
./images/11648.jpg,Monaco
./images/7287.jpg,Spain
./images/25133.jpg,"GERMANY, WEIMAR REPUBLIC"
./images/17484.jpg,Czechoslovakia
./images/36498.jpg,Bulgaria
./images/79987.jpg,Cyprus
./images/29112.jpg,"GERMAN-DEMOCRATIC REPUBLIC"
./images/89295.jpg,Singapore
./images/12435.jpg,"German States"
./images/36781.jpg,"French Polynesia"
./images/16527.jpg,Albania
./images/40864.jpg,Argentina
./images/46055.jpg,Venezuela
./images/19619.jpg,"CHINA, PEOPLE'S REPUBLIC"
./images/79945.jpg,Colombia
./images/6782.jpg,Monaco
./images/16759.jpg,"GERMANY - EMPIRE"
./images/37503.jpg,Czechoslovakia
./images/14635.jpg,Philippines
./images/92505.jpg,Slovenia
./images/8291.jpg,Belgium
./images/79409.jpg,Madagascar
./images/14915.jpg,Peru
./images/47400.jpg,Finland
./images/137.jpg,"ITALIAN STATES"
./images/17428.jpg,Turkey
./images/17149.jpg,Chile
./images/13167.jpg,Italy
./images/16231.jpg,Hungary
./images/15037.jpg,Mexico
./images/92240.jpg,Seychelles
./images/41545.jpg,Finland
./images/15.jpg,France
./images/29030.jpg,"San Marino"
./images/13972.jpg,Egypt
./images/44368.jpg,"GERMAN-DEMOCRATIC REPUBLIC"
./images/22114.jpg,"South Africa"
./images/13788.jpg,Mexico
./images/14780.jpg,Morocco
./images/14263.jpg,"GERMANY - FEDERAL REPUBLIC"
./images/46027.jpg,Israel
./images/90171.jpg,Zimbabwe
./images/37035.jpg,Japan
./images/18203.jpg,Tunisia
./images/32140.jpg,China
./images/29700.jpg,Peru
./images/39243.jpg,Lebanon
./images/38227.jpg,"Hong Kong"
./images/14653.jpg,Bulgaria
./images/32049.jpg,Egypt
./images/7135.jpg,"United States"
./images/12040.jpg,"United States"
./images/36633.jpg,Slovakia
./images/12123.jpg,"United States"
./images/46989.jpg,Mauritius
./images/18187.jpg,Yugoslavia
./images/8300.jpg,Belgium
./images/17996.jpg,Israel
./images/74601.jpg,"IRELAND REPUBLIC"
./images/19577.jpg,"FRENCH INDO-CHINA"
./images/91034.jpg,Slovakia
./images/35040.jpg,Czechoslovakia
./images/5456.jpg,Hungary
./images/39164.jpg,Mauritius
./images/17485.jpg,Czechoslovakia
./images/38976.jpg,Cyprus
./images/39132.jpg,"Sri Lanka"
./images/14277.jpg,"VATICAN CITY"
./images/18185.jpg,Yugoslavia
./images/15243.jpg,Sweden
./images/19247.jpg,Luxembourg
./images/32048.jpg,China
./images/89327.jpg,Slovenia
./images/78614.jpg,Malta
./images/431921.jpg,Zimbabwe
./images/7139.jpg,Spain
./images/7238.jpg,Austria
./images/17317.jpg,Romania
./images/15377.jpg,Morocco
./images/16762.jpg,"Spanish Netherlands"
./images/7095.jpg,Belgium
./images/35850.jpg,Kenya
./images/36433.jpg,Philippines
./images/29313.jpg,Kenya
./images/17786.jpg,"GERMANY, WEIMAR REPUBLIC"
./images/86929.jpg,INDIA-REPUBLIC
./images/16665.jpg,Australia
./images/29436.jpg,Peru
./images/25241.jpg,Japan
./images/45500.jpg,INDIA-REPUBLIC
./images/19647.jpg,"CHINA, PEOPLE'S REPUBLIC"
./images/13654.jpg,Austria
./images/32047.jpg,"CHINA, PEOPLE'S REPUBLIC"
./images/13262.jpg,"Hong Kong"
./images/52485.jpg,Venezuela
./images/14976.jpg,"IRELAND REPUBLIC"
./images/19333.jpg,Denmark
./images/28228.jpg,Norway
./images/17372.jpg,"VATICAN CITY"
./images/14060.jpg,Russia
./images/19660.jpg,"CHINA, PEOPLE'S REPUBLIC"
./images/432141.jpg,Zimbabwe
./images/46940.jpg,Croatia
./images/29891.jpg,Luxembourg
./images/9482.jpg,"Great Britain"
./images/25550.jpg,Colombia
./images/16655.jpg,Australia
./images/21411.jpg,"San Marino"
./images/25889.jpg,"New Caledonia"
./images/45435.jpg,Indonesia
./images/38969.jpg,"New Caledonia"
./images/40336.jpg,Venezuela
./images/19375.jpg,Colombia
./images/19574.jpg,Argentina
./images/38984.jpg,"IRELAND REPUBLIC"
./images/22118.jpg,"South Africa"
./images/18230.jpg,Singapore
./images/38200.jpg,"Isle of Man"
./images/19009.jpg,"GERMANY - FEDERAL REPUBLIC"
./images/41850.jpg,Cyprus
./images/19360.jpg,"French Polynesia"
./images/17518.jpg,"Czech Republic"
./images/38239.jpg,"Hong Kong"
./images/19095.jpg,"South Africa"
./images/17513.jpg,"Czech Republic"
./images/41880.jpg,"New Caledonia"
./images/16812.jpg,"GERMANY - FEDERAL REPUBLIC"
./images/39051.jpg,"West African States"
./images/18164.jpg,"Spanish Netherlands"
./images/71907.jpg,Madagascar
./images/18993.jpg,Morocco
./images/17033.jpg,Greece
